00:00:11.296944 DCon10   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Running)}, preserve=false aResultDetail=0
00:00:18.128130 DCon15   Saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox" with version "1.19-linux"
00:00:18.153006 DCon15   Finished saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox"
00:00:18.228829 DCon15   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:00:18.278229 DCon15   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Running)}, preserve=false aResultDetail=0
00:00:18.415270 DCon01   Saving settings file "/home/zokz/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:18.433920 DCon01   Finished saving settings file "/home/zokz/.config/VirtualBox/VirtualBox.xml"
00:00:20.805198 DCon05   Saving settings file "/home/zokz/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:20.823813 DCon05   Finished saving settings file "/home/zokz/.config/VirtualBox/VirtualBox.xml"
00:00:20.826510 DCon03   Saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox" with version "1.19-linux"
00:00:20.839444 DCon03   Finished saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox"
00:00:21.352656 DCon10   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:00:21.399322 DCon01   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Running)}, preserve=false aResultDetail=0
00:00:27.421839 DCon03   Saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox" with version "1.19-linux"
00:00:27.435136 DCon03   Finished saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox"
00:00:27.543126 DCon04   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:00:27.590854 DCon10   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Running)}, preserve=false aResultDetail=0
00:00:31.850997 DCon10   Saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox" with version "1.19-linux"
00:00:31.881337 DCon10   Finished saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox"
00:00:32.127609 DCon05   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:00:32.220610 DCon01   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Running)}, preserve=false aResultDetail=0
00:00:33.034861 DCon19   Saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox" with version "1.19-linux"
00:00:33.047212 DCon19   Finished saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox"
00:00:33.185732 DCon03   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:00:33.256212 DCon14   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Running)}, preserve=false aResultDetail=0
00:00:35.207610 DCon19   Saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox" with version "1.19-linux"
00:00:35.222361 DCon19   Finished saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox"
00:00:35.335706 DCon10   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:00:35.449321 DCon19   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Running)}, preserve=false aResultDetail=0
00:00:37.327826 DCon15   Saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox" with version "1.19-linux"
00:00:37.349700 DCon15   Finished saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox"
00:00:38.075906 DCon02   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:00:38.268460 DCon19   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Running)}, preserve=false aResultDetail=0
00:00:39.343268 DCon01   Saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox" with version "1.19-linux"
00:00:39.356324 DCon01   Finished saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox"
00:00:39.644042 DCon16   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
